Scrape_date,Author,Book,Highlighted_by,Passage
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"The current healthcare system must improve due to the enormous defect rate (estimated at nearly 45% by the New England Journal of Medicine, June 26, 2003),"
2013-01-29T01:48:45.980962, by Jeff Margolis,The Information Cure - Solving the Healthcare Crisis Systematically through Integrated Healthcare Management,Highlighted by 3 Kindle users,"is a system? (What is a system? A system is a combination of elements and behaviorss that interact to achieve an objective.) It seems that systems are popping up everywhere—and not just in healthcare.We have transportation systems, food distribution systems, and even home entertainment systems. There is actually a discipline of systems"
2013-01-29T01:48:45.980962, by Jeff Margolis,The Information Cure - Solving the Healthcare Crisis Systematically through Integrated Healthcare Management,Highlighted by 3 Kindle users,"is a system? (What is a system? A system is a combination of elements and behaviorss that interact to achieve an objective.) It seems that systems are popping up everywhere—and not just in healthcare.We have transportation systems, food distribution systems, and even home entertainment systems. There is actually a discipline of systems"
2013-01-29T01:48:45.980962, by Ezekiel J. Emanuel,"Healthcare, Guaranteed: A Simple, Secure Solution for America",Highlighted by 4 Kindle users,The cost of basic healthcare for all would be fairly determined   by the individual's ability to pay. Everyone purchasing  goods and services would bear their proportional share of  healthcare costs.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"A healthcare organization must be run like a successful business, focusing on achieving a positive Return-OnInvestment (ROI) by eliminating, or at least minimizing, non value-added"
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"""The national numbers for waste in healthcare are between 30% and 40%, but the reality of what we've observed doing minute-by-minute observation over the last three years is closer to 60%."
2013-01-29T01:48:45.980962," by Brett E. Trusko, Jim Harrington, Carolyn Pexton, Praveen K. Gupta",Improving Healthcare Quality and Cost with Six Sigma Reader,Highlighted by 6 Kindle users,Excellence in healthcare means that the healthcare provider does everything at a level above customer expectations.
2013-01-29T01:48:45.980962, by Les Funtleyder,"Healthcare Investing : Profiting from the New World of Pharma, Biotech, and Health Care Services (McGraw-Hill Finance & Investing)",Highlighted by 4 Kindle users,About 30 percent of health-care spending involves patients in their last year of life.
2013-01-29T01:48:45.980962, by Vincenzo Giuliano,Revolution in American Healthcare,Highlighted by 3 Kindle users,Healthcare is a social good that should be available to every person without regard to resources.”
2013-01-29T01:48:45.980962, by Jay Arthur,"Lean Six Sigma for Hospitals: Simple Steps to Fast, Affordable, and Flawless Healthcare",Highlighted by 17 Kindle users,"Rule 2: By focusing on the 4 percent of the healthcare that causes 50 percent of the delay, defects, and deviations, healthcare easily could boost quality, cut costs, and increase profits without breaking a sweat."
2013-01-29T01:48:45.980962, by Peter Rost,The Whistleblower: Confessions of a Healthcare Hitman,Highlighted by 5 Kindle users,"Americans spend about twice as much per person for healthcare as do Canadians, Japanese, or Europeans, according to the World Health Organization."
2013-01-29T01:48:45.980962, by Douglas A. Perednia,Overhauling America's Healthcare Machine: Stop the Bleeding and Save Trillions,Highlighted by 7 Kindle users,Physician income is clearly not the cause of escalating healthcare costs in the United States.
2013-01-29T01:48:45.980962, by Deane MD Waldman,Uproot U.S. Healthcare: To Reform Health Care,Highlighted by 3 Kindle users,"In healthcare, the bill is based on a predetermined fee schedule with no relationship to cost."
2013-01-29T01:48:45.980962, by Les Funtleyder,"Healthcare Investing : Profiting from the New World of Pharma, Biotech, and Health Care Services (McGraw-Hill Finance & Investing)",Highlighted by 3 Kindle users,"Health-care demand is not as elastic as demand in most other industries, which makes it more predictable and less sensitive to shifts in the economic landscape."
2013-01-29T01:48:45.980962, by Les Funtleyder,"Healthcare Investing : Profiting from the New World of Pharma, Biotech, and Health Care Services (McGraw-Hill Finance & Investing)",Highlighted by 4 Kindle users,"Catastrophic health-care issues are a leading cause of bankruptcies.15 Fear of financial ruin can lead to “job lock,” or lack of workforce mobility."
2013-01-29T01:48:45.980962, by Douglas A. Perednia,Overhauling America's Healthcare Machine: Stop the Bleeding and Save Trillions,Highlighted by 7 Kindle users,"But the greatest sin of the U.S. healthcare system is not that it is expensive, but that it’s inefficient."
2013-01-29T01:48:45.980962, by Les Funtleyder,"Healthcare Investing : Profiting from the New World of Pharma, Biotech, and Health Care Services (McGraw-Hill Finance & Investing)",Highlighted by 4 Kindle users,"the most important differentiating advantage that a health-care company can have is either to improve the quality of care, improve the cost of care, or improve the access to care."
2013-01-29T01:48:45.980962," by John Toussaint, Roger Gerard",On the Mend: Revolutionizing Healthcare to Save Lives and Transform the Industry,Highlighted by 85 Kindle users,But it is a good illustration of a lean healthcare ethos: make it better now; make it perfect later.
2013-01-29T01:48:45.980962," by Brett E. Trusko, Jim Harrington, Carolyn Pexton, Praveen K. Gupta",Improving Healthcare Quality and Cost with Six Sigma Reader,Highlighted by 3 Kindle users,"the only choice is to bring the cost of healthcare down, either artificially through reduced reimbursements (not a realistic alternative), allocations (another difficult choice), or by improving the quality of healthcare to the point where costs are actually decreasing."
2013-01-29T01:48:45.980962, by Deane MD Waldman,Uproot U.S. Healthcare: To Reform Health Care,Highlighted by 3 Kindle users,"the patients want fewer errors and better quality and less expensive care, healthcare must learn from its mistakes."
2013-01-29T01:48:45.980962, by Ezekiel J. Emanuel,"Healthcare, Guaranteed: A Simple, Secure Solution for America",Highlighted by 4 Kindle users,"Efficient delivery of high-quality healthcare requires the  three I's: infrastructure, incentives, and information. We need  an infrastructure that"
2013-01-29T01:48:45.980962, by Deane MD Waldman,Uproot U.S. Healthcare: To Reform Health Care,Highlighted by 3 Kindle users,"Just over 30% of all healthcare spending goes to people who provide care such as doctors, nurses and respiratory therapists."
2013-01-29T01:48:45.980962," by Professor Wilfred McSherry, Dr Linda Ross",Spiritual Assessment in Healthcare Practice,Highlighted by 3 Kindle users,Spiritual assessment is not about imposing a set of rigid questions on an individual. It is about interaction and dialogue between the patient and the healthcare practitioner.
2013-01-29T01:48:45.980962, by Scott Coplan,Project Management for Healthcare Information Technology,Highlighted by 5 Kindle users,"Change management focuses not on the project nor on the product, but rather on the people—the clinicians and patients and other workers in a healthcare organization who will use the HIT."
2013-01-29T01:48:45.980962," by Sanjaya Kumar MD MSc MPH, David Nash MD MBA",Demand Better! Revive Our Broken Healthcare System,Highlighted by 3 Kindle users,"By fixing our pernicious payment system: aligning financial incentives with quality and efficiency, correcting price distortions in healthcare markets, producing better information for healthcare decision-making, incorporating that information into how we pay physicians and hospitals and promoting health and enhancing"
2013-01-29T01:48:45.980962, by Douglas A. Perednia,Overhauling America's Healthcare Machine: Stop the Bleeding and Save Trillions,Highlighted by 10 Kindle users,"In a regulated free-market system, whatever healthcare activities and strategies are most profitable and are not prohibited or discouraged by laws or regulation are the activities that will occur."
2013-01-29T01:48:45.980962," by Sanjaya Kumar MD MSc MPH, David Nash MD MBA",Demand Better! Revive Our Broken Healthcare System,Highlighted by 3 Kindle users,"We spend more per capita on healthcare than the Chinese spend, per capita, on everything."
2013-01-29T01:48:45.980962, by Ezekiel J. Emanuel,"Healthcare, Guaranteed: A Simple, Secure Solution for America",Highlighted by 4 Kindle users,"Almost   60 percent of all healthcare costs result from treating the  5 percent of all patients who are truly sick, not the hypochondriacs   who want to see their doctors too often."
2013-01-29T01:48:45.980962," by Debra Hadfield RN MSN, Don Tapping, Shelagh Holmes RN, Eric Dudek, Jody Williams",The Lean Healthcare Pocket Guide XL,Highlighted by 3 Kindle users,"The ultimate customer is the patient, but remember, internal  customers can be staff, departments, vendors, or other healthcare   providers."
2013-01-29T01:48:45.980962, by Deane MD Waldman,Uproot U.S. Healthcare: To Reform Health Care,Highlighted by 3 Kindle users,"With half the doctors staying where they are less than five years and with 83% of nurses leaving their current institution within five years, [9] learning in healthcare is prevented and innovation is stopped."
2013-01-29T01:48:45.980962," by Sanjaya Kumar MD MSc MPH, David Nash MD MBA",Demand Better! Revive Our Broken Healthcare System,Highlighted by 3 Kindle users,"Poor healthcare quality derives from uncertainty in clinical decision making, which comes from persistent unexplained variation in physician practice patterns,"
2013-01-29T01:48:45.980962," by Mark S. Gaunya, Jennifer A. Borislow",Bend the Healthcare Trend: How Consumer-Driven Health & Wellness Plans Lower Insurance Costs,Highlighted by 6 Kindle users,"70 percent of all healthcare costs are the direct result of behavior. The second insight, which is well-understood by healthcare providers, is that 74 percent of all costs are confined to four chronic conditions: cardiovascular disease, cancer, diabetes, and obesity. Furthermore, 80 percent of cardiovascular disease and diabetes, 60 percent of cancers, and more than 90 percent of obesity is preventable."
2013-01-29T01:48:45.980962, by Cindy Jimmerson,Value Stream Mapping for Healthcare Made Easy,Highlighted by 5 Kindle users,"Perhaps because healthcare is a well-educated workforce, the unspoken expectation has been that each worker will figure out processes that support their work; that is, that they should not require daily activities to be clearly defined."
2013-01-29T01:48:45.980962," by Mark S. Gaunya, Jennifer A. Borislow",Bend the Healthcare Trend: How Consumer-Driven Health & Wellness Plans Lower Insurance Costs,Highlighted by 5 Kindle users,"One reason that consumers respond so well to CDHPs is their increased feeling of responsibility, flexibility, and control over their healthcare and money."
2013-01-29T01:48:45.980962, by Ezekiel J. Emanuel,"Healthcare, Guaranteed: A Simple, Secure Solution for America",Highlighted by 4 Kindle users,"The United States spends over $2 trillion  on healthcare, about $200 billion on prescription drugs,  and nearly $100 billion on medical research and development  of new treatments, but only a paltry $1 billion to evaluate the  comparative costs and effectiveness of medical interventions  and their influence on health outcomes."
2013-01-29T01:48:45.980962," by Brett E. Trusko, Jim Harrington, Carolyn Pexton, Praveen K. Gupta",Improving Healthcare Quality and Cost with Six Sigma Reader,Highlighted by 4 Kindle users,"The Six Sigma process forces hospitals to measure those things that are important to the business of healthcare, things like quality, mortality, customer satisfaction, and employee satisfaction."
2013-01-29T01:48:45.980962, by American Society for Healthcare Risk Management (ASHRM),Risk Management Handbook for Health Care Organizations (Jossey-Bass Public Health),Highlighted by 4 Kindle users,Agency for Healthcare Research and Quality (AHRQ) estimates that medical errors cost a typical large hospital about $5 million per year;
2013-01-29T01:48:45.980962," by Marion J. Ball, Charlotte Weaver, Joan Kiel","Healthcare Information Management Systems: Cases, Strategies, and Solutions (Health Informatics)",Highlighted by 3 Kindle users,"In complex adaptive systems (('AS), on the other hand, the ""parts"" (in the case of the U.S. healthcare system, this includes human beings) have the freedom and ability to respond to stimuli in many different and fundamentally unpredictable ways. For"
2013-01-29T01:48:45.980962, by Howard Dean,Howard Dean's Prescription for Real Healthcare Reform: How We Can Achieve Affordable Medical Care for Every American and Make Our Jobs Safer,Highlighted by 7 Kindle users,"More than a third of our healthcare dollars get spent on something   other than health, while our companies are falling behind  their foreign counterparts."
2013-01-29T01:48:45.980962, by Howard Dean,Howard Dean's Prescription for Real Healthcare Reform: How We Can Achieve Affordable Medical Care for Every American and Make Our Jobs Safer,Highlighted by 9 Kindle users,"The real issue in the debate over healthcare reform is not  whether or not we should have ""socialized medicine."" It's  whether we should continue with an extraordinarily inefficient  system that today features a private insurance industry that takes  large amounts of money out of the healthcare system for shareholders,   administrators, and executives while denying people the  basic coverage that they think they have paid for."
2013-01-29T01:48:45.980962," by Brett E. Trusko, Jim Harrington, Carolyn Pexton, Praveen K. Gupta",Improving Healthcare Quality and Cost with Six Sigma Reader,Highlighted by 8 Kindle users,"The healthcare error rate is approximately 6,210 errors per million opportunities (3.8 sigma), and for some, treatment activities run as high as a 1 sigma."
2013-01-29T01:48:45.980962," by Mark S. Gaunya, Jennifer A. Borislow",Bend the Healthcare Trend: How Consumer-Driven Health & Wellness Plans Lower Insurance Costs,Highlighted by 6 Kindle users,"Medical procedures paid for with consumers' hard-earned money are carefully researched, considered, and weighed against other options. It's what an informed healthcare consumer does."
2013-01-29T01:48:45.980962, by Douglas A. Perednia,Overhauling America's Healthcare Machine: Stop the Bleeding and Save Trillions,Highlighted by 4 Kindle users,"According to the Bureau of Labor Statistics, in 2010 there were more than “4.5 million” Americans employed in healthcare management and administrative support.5 In contrast, there were only about 820,000 clinically active physicians—more than a 5:1 ratio of administrators to doctors!"
2013-01-29T01:48:45.980962," by Debra Hadfield RN MSN, Don Tapping, Shelagh Holmes RN, Eric Dudek, Jody Williams",The Lean Healthcare Pocket Guide XL,Highlighted by 3 Kindle users,There are eight categories of waste in healthcare: 1. Unnecessary services or overproduction 2. Mistakes or defects 3. Delays or waiting 4. Unnecessary motion or movement 5. Overprocessing 6. Excess inventory 7. Excess transport 8. Unused creativity
2013-01-29T01:48:45.980962, by Howard Dean,Howard Dean's Prescription for Real Healthcare Reform: How We Can Achieve Affordable Medical Care for Every American and Make Our Jobs Safer,Highlighted by 8 Kindle users,Much has been made of the 47 million Americans who don't  have health insurance. But the healthcare reform debate should  also focus on the fact that an estimated 25 million working-aged  Americans have health insurance but still can't afford to see a  doctor.
2013-01-29T01:48:45.980962, by Howard Dean,Howard Dean's Prescription for Real Healthcare Reform: How We Can Achieve Affordable Medical Care for Every American and Make Our Jobs Safer,Highlighted by 8 Kindle users,"So, the real debate about healthcare reform is not a debate  about how large a role government should play. The real issue  is: Should we give Americans under the age of sixty-five the  same choice we give Americans over sixty-five? Should we  give all Americans a choice of opting out of the private health  insurance system and benefiting from a public health insurance   plan?"
2013-01-29T01:48:45.980962, by J. Michael Rona Consulting Group LLC,5S for Healthcare (Lean Tools for Healthcare Series),Highlighted by 3 Kindle users,"■ If appropriate, preassemble instruments and supplies into kits."
2013-01-29T01:48:45.980962, by J. Michael Rona Consulting Group LLC,5S for Healthcare (Lean Tools for Healthcare Series),Highlighted by 3 Kindle users,"“only what is needed, only in the amounts needed, and only when it is needed.”"
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 3 Kindle users,developing critical pathways for non-surgical hospital admissions has proven problematic.
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 5 Kindle users,"Physicians both diagnose and treat illness—in economic terms, they create and satisfy demand."
2013-01-29T01:48:45.980962, by James R. Thobaben,Health-Care Ethics: A Comprehensive Christian Resource,Highlighted by 3 Kindle users,operate with two levels of explanation and two degrees of tolerance-one for the world and one for the church.
2013-01-29T01:48:45.980962, by Jeff Margolis,The Information Cure - Solving the Healthcare Crisis Systematically through Integrated Healthcare Management,Highlighted by 3 Kindle users,"Primary care doctors are an essential control mechanism for the health of the patient, much the same way that thermostats are the control mechanism for the temperature of the house."
2013-01-29T01:48:45.980962, by J. Michael Rona Consulting Group LLC,5S for Healthcare (Lean Tools for Healthcare Series),Highlighted by 3 Kindle users,■ Make storage places larger than the items stored there so that they are physically easy to remove and put back.
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,Five years is a common and realistic timeframe in which to carry out a lean transformation.
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,Management and staff may no longer view a process from a departmental perspective but
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 3 Kindle users,"Health care comprises one-sixth of our economy, and the savings we seek will come out of executive’s salaries and companies’ profits."
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 4 Kindle users,7. Excess transport 8. Unused creativity
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 3 Kindle users,"They need to coerce the doctors into doing the rationing for them. So covert rationing must occur at the bedside, during the physician-patient encounter."
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,The value stream is everything that must occur in order to provide a service to the patient/customer.
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 3 Kindle users,"Second, the Federal Health Board would promote “high-value” medical care by recommending coverage of those drugs and procedures backed by solid evidence."
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 5 Kindle users,"FEHBP is a menu of private health plans that is offered exclusively to federal employees and members of Congress, covering more than eight million workers and their dependents."
2013-01-29T01:48:45.980962, by J. Michael Rona Consulting Group LLC,5S for Healthcare (Lean Tools for Healthcare Series),Highlighted by 3 Kindle users,"Store infrequently used items away from the place of use. ■ Store items together if they are used together, and store them in the sequence in which they are used."
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,a value stream map for each area of strategic focus based on the goals developed during the strategic deployment sessions.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,Lean is based on reducing costs rather than raising prices (or reducing services).
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,Flow is accomplished through the elimination of constraints or obstacles that impede the movement of the patient or product from one operation or process to the next.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"formal standards via work rules, charts, and visual controls must be used to further eliminate variation. "
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,purpose of Lean is to eliminate all waste or non value-added activities from a process.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"Valueadded activities, on the other hand, are those things customers (i.e., typically the patient) are willing to pay for,"
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,Lean is centered around eliminating waste through continuous improvement while always keeping the customer in mind.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 4 Kindle users,Waste is defined as non value-added activities that the customer is unwilling to pay for.
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 4 Kindle users,Covert rationing precludes trust-based end-of-life care. It destroys the trust between doctors and patients and even between patients and loved ones. Covert rationing corrupts everything it touches.
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 4 Kindle users,"Doctors, bound by the Hippocratic Oath, had no reason to know or care about the cost of what they ordered. Hospitals were happy to earn as much money as possible by performing every test and procedure imaginable."
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 3 Kindle users,"The most competent, highly trained, and compassionate care giver will be viewed as unorganized, confused, and inefficient if the process is not user-friendly."
2013-01-29T01:48:45.980962, by Thomas G. Zidel,"A Lean Guide to Transforming Healthcare: How to Implement Lean Principles in Hospitals, Medical Offices, Clinics, and Other Healthcare Organizations",Highlighted by 4 Kindle users,Standard work is defined as the most effective combination of activities that will minimize non-value-added activities while providing high quality care.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 4 Kindle users,Non value-added activities increase costs by using time and resources without directly satisfying the needs of the customer.
2013-01-29T01:48:45.980962, by Stephen C. Schimpff,The Future of Health-Care Delivery: Why It Must Change and How It Will Affect You,Highlighted by 3 Kindle users,"Our system of autonomous, independent practitioners will have to change to groups of physicians and other providers, or teams, each with their own skill sets, who will work"
2013-01-29T01:48:45.980962, by James R. Thobaben,Health-Care Ethics: A Comprehensive Christian Resource,Highlighted by 3 Kindle users,"Since the ethical starting point for the believer is the trust relationship with Jesus Christ as understood through the Text, the faith community and the intervention of the Holy Spirit, the faithful should not expect those of the world to readily accept or even understand at a deep level this moral order."
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,Individual cycle time is the rate of completion of an individual task or single operation of work.For
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,Total cycle time is the rate of completion of a process or group of tasks that have a common element.
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,The Treat Phase (Chapter 4) is the actual training and application or implementation of the Lean tools.
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users, The following guidelines can be used to determine if a value stream map should be created.
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,The Diagnosis Phase (Chapter 3) explains the necessary tools that allow additional analysis of the process or area.
2013-01-29T01:48:45.980962," by Sue Kozlowski, Todd Sperl, Debra Hadfield, Shelagh Holmes","The New Lean Healthcare Pocket Guide - Tools for the Elimination of Waste in Hospitals, Clinics, and other Healthcare Facilities",Highlighted by 3 Kindle users,"due to the enormous defect rate (estimated at nearly 45% by the New England Journal of Medicine, June 26, 2003), premium cost escalation, nursing shortages, etc."
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,Current state value stream maps provide a visual representation of the way information and workflow is occurring presently.
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 4 Kindle users,"We spend more than $6,400 per American on medical care—more than twice the industrial world’s average—and yet we are the only advanced country that fails to cover everyone. Medical bills are the leading cause of bankruptcy in the United States,"
2013-01-29T01:48:45.980962," by Laura Archbold, Don Tapping, Sue Kozlowski, Todd Sperl","Value Stream Management for Lean Healthcare - Four Steps to Planning, Mapping, Implementing, and Controlling Improvements in All Types of Healthcare Environments (Revised Edition)",Highlighted by 3 Kindle users,Takt time is a function of time that determines how fast a process must run to meet customer demand.
