tags,text,created_at,from_user,from_user_id,to_user_id,id,to_user
GoldmanSachs,RT @tradingfloorcom: #GoldmanSachs beat consensus forecast for revenues of USD 7.8 B and with a spectacular USD 9.2 B $GS - http://t.co/UqsqhjWs,"Fri, 01 Feb 2013 04:43:18 +0000",traderX656,422944169,0,297203449974620160,
Jobs::Utica,"Utica Jobs: Staff RN - Endoscopy: Faxton-St. Lukes Healthcare - Utica, NY - Staff RN - Endoscopy... http://t.co/E81RSerS #Jobs #Utica","Fri, 01 Feb 2013 04:43:13 +0000",Utica_Jobs_US,263677945,0,297203428281692160,
ideas4impact,Thank You @drjhwang for an engaging and enlightening talk about disruptive innovation in healthcare! #ideas4impact,"Fri, 01 Feb 2013 04:43:09 +0000",SauderISIS,29536339,0,297203409826754560,
,"OMG this AHA online ACLS course! - It's geared for all healthcare providers, DOCTORS, not just nurses...FUCKING HARD!","Fri, 01 Feb 2013 04:42:44 +0000",thatlauralove,758594053,0,297203304570699777,
tcot::TGDN,"RT @dennygirltwo: HERE'S UR FREE HEALTHCARE @slone: HEY,OBAMA VOTERS! IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family http://t.co/Wjw09D9s #tcot #TGDN","Fri, 01 Feb 2013 04:42:37 +0000",DONNAinOHIO,18300149,0,297203277043470336,
Jobs::PembrokePines,Pembroke Pines Jobs: Emergency Room Nurse / ER Registered Nurse: MedPro Healthcare Staffing -... http://t.co/qBFEI3B8 #Jobs #PembrokePines,"Fri, 01 Feb 2013 04:42:28 +0000",PembrokePinesWk,280651204,0,297203237365350400,
Jobs::PembrokePines,"Pembroke Pines Jobs: Mother Baby Nurse: MedPro Healthcare Staffing - Pembroke Pines, FL -... http://t.co/wonshlck #Jobs #PembrokePines","Fri, 01 Feb 2013 04:42:22 +0000",PembrokePinesWk,280651204,0,297203214640635904,
Jobs::Norwalk,"Norwalk Jobs: RN or LPN (Registered / Licensed Practical Nurse): Maxim Healthcare Services - Norwalk,... http://t.co/TN80LlAa #Jobs #Norwalk","Fri, 01 Feb 2013 04:42:22 +0000",Norwalk_Jobs_CT,236768675,0,297203214024077312,
Jobs,Vancouver Job: Supervisory Physician-Internal Medicine Physician needed in Vancouver: Healthcare Recruitment... http://t.co/qfpAdWwE #Jobs,"Fri, 01 Feb 2013 04:42:19 +0000",Vancouver_Wk,226106429,0,297203199163654144,
,RT @leonlillie: @leonlillie: Why do Minnesota GOP treat State Workers w so much disrespect-Had 1 say doesn't get state healthcare-He gets Federal fr PO job,"Fri, 01 Feb 2013 04:42:12 +0000",cacotter,35545460,0,297203173477740545,
Jobs::SanBernardino,"San Bernardino Jobs: COTA: Supplemental Healthcare - San Bernardino, CA - Open position for a... http://t.co/X9lyJXlI #Jobs #SanBernardino","Fri, 01 Feb 2013 04:42:09 +0000",SanBernardinoWk,274020118,0,297203158810243072,
HIPAA::healthcare,RT @FierceHealthIT: Knowledge is power - 4 new #HIPAA provisions #healthcare providers must know http://t.co/uRfbjkgX,"Fri, 01 Feb 2013 04:42:08 +0000",scott_ch3n,113919249,0,297203153558978560,
,"What if no one came for Snow White? Would she have spitten out the apple, got a job w/a healthcare package &amp; a baby at the local sperm bank?","Fri, 01 Feb 2013 04:42:05 +0000",SPLENDAWESOME,193819335,0,297203141559070720,
tcot::TGDN,"RT @dennygirltwo: HERE'S UR FREE HEALTHCARE @slone: HEY,OBAMA VOTERS! IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family http://t.co/Wjw09D9s #tcot #TGDN","Fri, 01 Feb 2013 04:42:00 +0000",mzagorski,58443226,0,297203121724203009,
,RT @philbilly25: “@H_Squared703: You can't spell healthcare without THC.”,"Fri, 01 Feb 2013 04:41:58 +0000",H_Squared703,586323795,0,297203113478193153,
Jobs::Scottsdale,"Scottsdale Jobs: Registration Rep: Scottsdale Healthcare - Scottsdale, AZ - Registration... http://t.co/QKE30Qg8 #Jobs #Scottsdale","Fri, 01 Feb 2013 04:41:45 +0000",Scottsdale_Job,193423356,0,297203057182265344,
tcot::TGDN,"HERE'S UR FREE HEALTHCARE @slone: HEY,OBAMA VOTERS! IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family http://t.co/Wjw09D9s #tcot #TGDN","Fri, 01 Feb 2013 04:41:34 +0000",dennygirltwo,194615561,0,297203012366127104,
,4 Healthcare Stock Stories for Almost-The-Weekend Reading:  http://t.co/boVmXWR8,"Fri, 01 Feb 2013 04:41:26 +0000",Biotech_Updates,19384782,0,297202977167511552,
Jobs::BurtonUponTrent,"Burton Job: National Clinical Bank Team Manager: HEALTHCARE AT HOME LTD - Burton upon Trent,... http://t.co/pmQhTDOI #Jobs #BurtonUponTrent","Fri, 01 Feb 2013 04:41:07 +0000",Burton_on_Trent,168089145,0,297202897932910592,
nurse::jobs,"#nurse #jobs Cath Lab RN at Springboard Healthcare Staffing &amp; Search (Phoenix, AZ): Cath Lab RN, for Interventio...  http://t.co/ufdtcUNb","Fri, 01 Feb 2013 04:41:06 +0000",nursejobsAZ,635473196,0,297202896636891136,
Jobs,"Tulsa Jobs: Public Sector BAO Healthcare: Data Modeler: Tulsa, OK - Public Sector BAO Healthcare: Data Modeler... http://t.co/LUV5TxkM #Jobs","Fri, 01 Feb 2013 04:41:02 +0000",Tulsa_Jobs_USA,200469580,0,297202878496526336,
obama::thanksforvoting,Yesterday it became real that in 2014 many less people will have healthcare. Pump up that vitamin c now. #obama #thanksforvoting,"Fri, 01 Feb 2013 04:40:48 +0000",jeme1,19940255,0,297202817884639232,
,"@edshow Those damned Democrats are getting Americans addicted to food, healthcare, educations, clean air and clean water. Disgusting.","Fri, 01 Feb 2013 04:40:43 +0000",LuigiBleu,787642788,75052666,297202798662123520,edshow
PetersfieldJobs,"Petersfield Jobs: Healthcare Training Manager: Estiohealthcare - Petersfield, Hampshire -  Trai... http://t.co/Lt5z0VsN #PetersfieldJobs","Fri, 01 Feb 2013 04:40:35 +0000",Petersfield_Job,281432670,0,297202764017201153,
,Apparently in 2016 under Obamacare healthcare will cost TWENTY F**KING THOUSAND DOLLARS PER YEAR.,"Fri, 01 Feb 2013 04:39:54 +0000",HausOfTheJoker,437232115,0,297202591094435840,
ptcentcare::HIT::sp4m,RT @SueWoods: Bookmark this keeper of a post by @chasedave Healthcare's Trillion-Dollar Disruption - Forbes http://t.co/PbnCFv5e #ptcentcare #HIT #sp4m,"Fri, 01 Feb 2013 04:39:30 +0000",mikewisz,25588352,0,297202492041752576,
healthcare::jobs,"US #healthcare #jobs Health Information ROI Specialist: Providence Health &amp; Services - Portland, OR -  Title: He... http://t.co/tgjsEoGe","Fri, 01 Feb 2013 04:39:16 +0000",Careerjet_us,285202377,0,297202432730095617,
healthcare::jobs,"US #healthcare #jobs Perm Occupational Therapist - Inpatient: Capital Healthcare Solutions, Inc. - Phoenix, AZ -... http://t.co/QvRuLCZN","Fri, 01 Feb 2013 04:39:16 +0000",Careerjet_us,285202377,0,297202431970902016,
healthcare::jobs,"US #healthcare #jobs Registered Nurse - Cardiac Catheterization Lab: Community Health Systems - Tomball, TX -  T... http://t.co/yxBZd6IM","Fri, 01 Feb 2013 04:39:16 +0000",Careerjet_us,285202377,0,297202431203373056,
healthcare::jobs,US #healthcare #jobs Hospitalist: http://t.co/O1dNSlf6 - Missouri -  http://t.co/O1dNSlf6 is a full-service physic... http://t.co/Ig6PXyZ9,"Fri, 01 Feb 2013 04:39:15 +0000",Careerjet_us,285202377,0,297202430167371776,
healthcare::jobs,US #healthcare #jobs Dietitian: US Navy Recruiting Command Seattle - USA - Do everything from designing aural re... http://t.co/Zxf0YLAT,"Fri, 01 Feb 2013 04:39:15 +0000",Careerjet_us,285202377,0,297202429273980928,
,Signature HealthCARE in the news moving into the hospital segment.  Bravo @JoeSteier  for your game changing philosophy!,"Fri, 01 Feb 2013 04:39:06 +0000",tcbvids,763856952,0,297202391906922497,
HSA::CDH::HDHP::healthcare,RT @HealthEquity: RT @McNamaraTim WOW! Health Savings Accounts Grow to $15.5 Billion http://t.co/1nuyEmW7 … #HSA #CDH #HDHP #healthcare,"Fri, 01 Feb 2013 04:39:03 +0000",TSwanJohnston,388999912,0,297202379437264896,
,"Orthopaedic Nurses - Highest Salaries: ORTHOPAEDIC NURSES

Healthcare Professionals are recruiting Orthopaedic N... http://t.co/3kRMe93v","Fri, 01 Feb 2013 04:38:58 +0000",Eurojobs_com,38261757,0,297202356976754688,
,"Surgical Ward, HDU / ICU Staff - Highest Salaries: Healthcare Professionals are recruiting Nursing Staff of all ... http://t.co/2d3D1U95","Fri, 01 Feb 2013 04:38:58 +0000",Eurojobs_com,38261757,0,297202356251160576,
,Nurse Practitioners - Highest Salaries: Healthcare Professionals are recruiting Nurse Practitioners of all level... http://t.co/1sw44wUk,"Fri, 01 Feb 2013 04:38:57 +0000",Eurojobs_com,38261757,0,297202355450048513,
,MRI / CT Radiographers - Highest Salaries: Healthcare Professionals are recruiting MRI and CT Radiographers of a... http://t.co/YjvcwW1z,"Fri, 01 Feb 2013 04:38:57 +0000",Eurojobs_com,38261757,0,297202354493739009,
Internship::North::Carolina,#Internship 2013 BCBSNC Summer Internship Program - Area: Healthcare: BlueCross BlueShield of N... http://t.co/oM2MTGMM #North #Carolina,"Fri, 01 Feb 2013 04:38:43 +0000",USA_Internship,568198984,0,297202296490700801,
,"RT @elenajohnson_nz: RT @TEDNews: In Malawi, 1 in 36 pregnant women die in childbirth. Can design solutions tackle this healthcare problem? http://t.co/8RNj0gpd","Fri, 01 Feb 2013 04:38:39 +0000",SanPortal,252890431,0,297202276068638720,
,"RT @cnsnews: GALLUP: 61% of Small Business ‘Worried’ Over Healthcare Costs -- 30% Not Hiring, Fear Going Out of Business http://t.co/kUUuYvQw","Fri, 01 Feb 2013 04:38:38 +0000",JayCaple,146272736,0,297202275624030209,
,"So much for ""affordable"" healthcare - Obamacare to soon cost the average American family $20,000 a year, anno… http://t.co/dDbm92cG","Fri, 01 Feb 2013 04:38:38 +0000",libertygaurdian,318729288,0,297202272297955328,
,"I've always had the safety net of a unionized job with benefits, healthcare access, and savings that can accrue. Why would I complain???","Fri, 01 Feb 2013 04:38:36 +0000",PinkNGreenKicks,85920292,0,297202266337857538,
healthcare::jobs::Edmonton,"#healthcare #jobs Medical Clinic Office Manager: Capilano Medical Clinic - Edmonton, AB -  Company ... http://t.co/rQm0lHtS in #Edmonton","Fri, 01 Feb 2013 04:38:35 +0000",Careerjet_ca,202176605,0,297202259761180672,
healthcare::jobs::Edmonton,"#healthcare #jobs Pharmaceutical Sales Representative: Impres Pharma - Edmonton, AB -  You will be ... http://t.co/qL1cC9dJ in #Edmonton","Fri, 01 Feb 2013 04:38:34 +0000",Careerjet_ca,202176605,0,297202259048157185,
healthcare::jobs::1122::Edmonton,"#healthcare #jobs Staff Pharmacist - #1122 Edmonton, AB: Wal-Mart Canada - Albany, PE - Edmonton, A... http://t.co/S4dw7o21 in #Edmonton","Fri, 01 Feb 2013 04:38:34 +0000",Careerjet_ca,202176605,0,297202258133794818,
healthcare::jobs::Edmonton,"#healthcare #jobs Medical Clinic Office Manager: Capilano Medical Clinic - Edmonton, AB -  Company ... http://t.co/QffafETh in #Edmonton","Fri, 01 Feb 2013 04:38:33 +0000",Careerjet_ca,202176605,0,297202253431988224,
healthcare::jobs::Edmonton,"#healthcare #jobs Pharmaceutical Sales Representative: Impres Pharma - Edmonton, AB -  You will be ... http://t.co/fdzwT8Ne in #Edmonton","Fri, 01 Feb 2013 04:38:33 +0000",Careerjet_ca,202176605,0,297202252526022656,
healthcare::jobs::1122::Edmonton,"#healthcare #jobs Staff Pharmacist - #1122 Edmonton, AB: Wal-Mart Canada - Albany, PE - Edmonton, A... http://t.co/TJBirrBZ in #Edmonton","Fri, 01 Feb 2013 04:38:33 +0000",Careerjet_ca,202176605,0,297202251510984705,
,Boeing engineers' union puts strike authorization on ballot: NEW YORK (Reuters) - Union leaders representing abo... http://t.co/MsPDB7fv,"Fri, 01 Feb 2013 04:38:31 +0000",healthcare_dk,127106618,0,297202245878046720,
,"RT @drmalvord: New England J. of Medicine survey finds strong support for gun control, more mental healthcare http://t.co/BZNjXRYk via @latimeshealth","Fri, 01 Feb 2013 04:38:20 +0000",JoelCarnazzo,353991235,0,297202198079754240,
,Account Manager- Healthcare PR- London http://t.co/j00qBTvZ,"Fri, 01 Feb 2013 04:38:08 +0000",GeoffOlden,893877354,0,297202147194437632,
,"JOBS/MISSOURI: Perioperative Nurse - Operating Room Nurse - (OR RN): American Mobile Healthcare - Saint Louis, M... http://t.co/M2FOAW4e","Fri, 01 Feb 2013 04:38:07 +0000",NurseJobsUSA,41766391,0,297202143830609920,
GunsKillPeople,"RT @FlaminLib: Right Wing Logic: Guns for all is all-American, but healthcare for all is Communism. #GunsKillPeople","Fri, 01 Feb 2013 04:37:57 +0000",amylofton,38052899,0,297202103724679169,
,"RT @JohnGGalt: No, you know what bullying is? Cramming a healthcare tax down the throats of the majority of Americans whom don't want it.","Fri, 01 Feb 2013 04:37:42 +0000",microdynamics,59008713,0,297202037962178560,
mobilehealth::healthcare,"Humor x loss economics x ridiculousness: Now THAT'S better than ""health Apps""!!! #mobilehealth #healthcare http://t.co/IX8htJ6y","Fri, 01 Feb 2013 04:37:36 +0000",DrKyraBobinet,143544340,0,297202013702332417,
GunsKillPeople,"RT @FlaminLib: Right Wing Logic: Guns for all is all-American, but healthcare for all is Communism. #GunsKillPeople","Fri, 01 Feb 2013 04:37:27 +0000",LBC1961,450266680,0,297201974003249152,
novascotia,"#novascotia Carer - Halifax: Advantage Healthcare - Halifax, NS - Advantage Healthcare currently has a wide vari... http://t.co/uhVRti8k","Fri, 01 Feb 2013 04:37:16 +0000",careerbacon,32506653,0,297201928100790272,
novascotia,"#novascotia Carer - Halifax: Advantage Healthcare - Halifax, NS - Advantage Healthcare currently has a wide vari... http://t.co/rjdYnu2m","Fri, 01 Feb 2013 04:37:13 +0000",careerbacon,32506653,0,297201918458097664,
healthcare::jobs::Ottawa,"#healthcare #jobs Executive Director - health field: Ottawa, ON - Reporting through the Board Chair t... http://t.co/fOJ06V3g in #Ottawa","Fri, 01 Feb 2013 04:37:12 +0000",Careerjet_ca,202176605,0,297201914259570689,
,Healthcare Payment Reform Redefines Healthcare IT Solution Requirements (via @healthflock) http://t.co/d0FLJs58,"Fri, 01 Feb 2013 04:37:12 +0000",Patientco,418048787,0,297201913361993729,
healthcare::jobs::Ottawa,"#healthcare #jobs Pharmaceutical Sales Representative - Entry Level: Impres Pharma - Ottawa, ON -  Co... http://t.co/qSCUVGNz in #Ottawa","Fri, 01 Feb 2013 04:37:12 +0000",Careerjet_ca,202176605,0,297201913324244992,
healthcare::jobs::Ottawa,"#healthcare #jobs Acupuncturist Required ? Ottawa: Ottawa, ON - (must have an ontario recognised dipl... http://t.co/U694z5mj in #Ottawa","Fri, 01 Feb 2013 04:37:12 +0000",Careerjet_ca,202176605,0,297201912611237888,
,Nursing Jobs: Staff Nurse - MedSurg ICU Job: Nursing Registered Nurse/Staff Nurse (RN) at Piedmont Healthcare in GA http://t.co/6QT10O7l,"Fri, 01 Feb 2013 04:37:09 +0000",NursingJobs_GA,137534982,0,297201899508232193,
,RT @davek: @dennygirltwo @connewsnow :I was just notified that my family's Healthcare is going from $50 per month to $750 per month. Thanks Obama.,"Fri, 01 Feb 2013 04:36:58 +0000",frankiefedora,506918638,0,297201856139124737,
BoycottWholeFoods::ACA::TCOT,RT @Mozi_N: I wonder what John Mackey calls it when a CEO won't put out the money to give his employees healthcare?   #BoycottWholeFoods #ACA #TCOT,"Fri, 01 Feb 2013 04:36:49 +0000",EnigmaNetxx,166001916,0,297201818235191296,
health::antioxidants,New truth. Take care of your own health. Be your own advocate when it come to healthcare. #health #antioxidants http://t.co/nhj49XoO,"Fri, 01 Feb 2013 04:36:35 +0000",VirtualWorldLyn,139230624,0,297201757631696897,
healthcare::CIO::technology::2013,60% of docs believe social media improves quality of care but still #healthcare #CIO’s aren’t social http://t.co/NA04Xixa #technology #2013,"Fri, 01 Feb 2013 04:36:00 +0000",theDCFoodChain,133769674,0,297201613213413377,
,Got my dansko today too!! Only healthcare professionals know what I'm talking about.,"Fri, 01 Feb 2013 04:35:23 +0000",NutMeg_O,64816172,0,297201453892775936,
Healthcare,An Obama Care Survival Guide is available?! We've had universal health care in Canada and we're fine! #Healthcare @BarackObama @whitehouse,"Fri, 01 Feb 2013 04:35:13 +0000",DerekKerr,428674120,0,297201414256619520,
,"RT @junkerrN: Republicans Seek To End Healthcare For 1.3 Million Disabled Vets http://t.co/AbfCRN8K … …  via @politicususa GEE THANKS USE,ABUSE,THROW AWAY","Fri, 01 Feb 2013 04:34:53 +0000",V2iper,25971064,0,297201328223031296,
,"RT @MrsFreedomFirst: Doctors are already leaving the healthcare field. There is already enormous paperwork for them, think of how much there WILL be.","Fri, 01 Feb 2013 04:34:47 +0000",CleanBurnCandle,15933649,0,297201303711518720,
,"RT @MrsFreedomFirst: Doctors are already leaving the healthcare field. There is already enormous paperwork for them, think of how much there WILL be.","Fri, 01 Feb 2013 04:34:42 +0000",andreapkn,990077707,0,297201282609987584,
,"PTA, School HH Setting, Job: ABC Healthcare - Dalhart, TX - an accredited therapy school. In… http://t.co/0FZGSemV","Fri, 01 Feb 2013 04:34:40 +0000",asim_ca3,52175069,0,297201275530010624,
,"JOBS/PENNSYLVANIA: Registered Nurse (RN): Capital Healthcare Solutions, Inc. - Erie, PA -  Registered Nurse (RN)... http://t.co/D3VolZz7","Fri, 01 Feb 2013 04:34:30 +0000",NurseJobsUSA,41766391,0,297201234870423554,
Tennessee::Nurse,"#Tennessee #Nurse RN or LPN (Registered / Licensed Practical Nurse) at Maxim Healthcare Services (Harrison, TN): direct patient care....","Fri, 01 Feb 2013 04:34:19 +0000",localnursejobs,969084733,0,297201188305248257,
,Recognize Acupuncturist as Healthcare providers http://t.co/I5L90nWU,"Fri, 01 Feb 2013 04:34:14 +0000",knotdecipher,147612254,0,297201165614067712,
,"RT @InjusticeFacts: Every year, $400 billion is spent on prostitution while all it takes is $5 billion to provide poor women with basic reproductive healthcare.","Fri, 01 Feb 2013 04:33:49 +0000",GemBreezy,51948850,0,297201060345442304,
,A healthcare facility that never asked for financial assistance closed and you're blaming Obama?? Really America because that's logical,"Fri, 01 Feb 2013 04:33:43 +0000",arodsmoney,419107016,0,297201036655992833,
healthcare,AHA calls for Stage 2 reporting changes - http://t.co/esYvcpf1 #healthcare,"Fri, 01 Feb 2013 04:33:34 +0000",oneclickmed,78412279,0,297201000169742337,
,"Doctors are already leaving the healthcare field. There is already enormous paperwork for them, think of how much there WILL be.","Fri, 01 Feb 2013 04:33:18 +0000",MrsFreedomFirst,19492240,0,297200932654034944,
GunsKillPeople,"RT @FlaminLib: Right Wing Logic: Guns for all is all-American, but healthcare for all is Communism. #GunsKillPeople","Fri, 01 Feb 2013 04:33:17 +0000",JaneanWilliams1,781463491,0,297200928715583489,
,"JOBS/VIRGINIA: Neonatal Intensive Care Nurse - (NICU RN): American Mobile Healthcare - Richmond, VA - Job Descri... http://t.co/j7jxCQzq","Fri, 01 Feb 2013 04:32:54 +0000",NurseJobsUSA,41766391,0,297200829436424192,
,"Medical Device Guru has 30,000 members &amp; 200 discussions each week on topics relavent to the healthcare community. Plu…http://t.co/LMXEIIRO","Fri, 01 Feb 2013 04:32:48 +0000",LegacyMedSearch,18270565,0,297200807051403264,
Healthcare::uaejobs::dubai::healthcare::uae,RT @andysiddiqi: Do you require a Project Manager with #Healthcare experience? Contact: +971561360711 http://t.co/g7JucxnG #uaejobs #dubai #healthcare #uae,"Fri, 01 Feb 2013 04:32:40 +0000",uaert,502729019,0,297200772175761408,
Jobs::Wichita,Wichita Jobs: Pediatric Pulmonologist for Clinical/Academic Practice in Wichit: HCA Healthcare -... http://t.co/bS21AhMp #Jobs #Wichita,"Fri, 01 Feb 2013 04:32:05 +0000",Wichita_Jobs_,174636018,0,297200627308695553,
,What is America's biggest problem? Gas prices? Healthcare? High taxes?  ...NO! NAKED SQUIRRELS!,"Fri, 01 Feb 2013 04:32:01 +0000",Female_Ghost,111987763,0,297200610653138944,
,"JOBS/NEW MEXICO: Registered Nurse - ICU - Contract/ Travel: Capital Healthcare Solutions, Inc. - Albuquerque, NM... http://t.co/Dpal6BTT","Fri, 01 Feb 2013 04:31:57 +0000",NurseJobsUSA,41766391,0,297200592919597056,
solvept::Healthcare::tweetchats::nurseup,@DrBenFung #solvept I like that idea :) here is the main source of #Healthcare #tweetchats &amp; previous archives http://t.co/xngB5UH4 #nurseup,"Fri, 01 Feb 2013 04:31:52 +0000",nursefriendly,22638297,342564678,297200569578303489,DrBenFung
,@willmorgan84 New headline: Will's Bill Will Provide Healthcare to Minnesotans. More rhyming!,"Fri, 01 Feb 2013 04:31:23 +0000",alxchrstnsn,20280716,144728043,297200449017237504,willmorgan84
IBM::CloudQuest::cloud::IT::Retail::Banking::Finance::FSS::Federal::Healthcare,#IBM #CloudQuest. A fun way to building your private #cloud http://t.co/iMuZkhzy #IT #Retail #Banking #Finance #FSS #Federal #Healthcare,"Fri, 01 Feb 2013 04:30:48 +0000",dsingerh,16424628,0,297200304510877696,
GoldmanSachs,#GoldmanSachs beat consensus forecast for revenues of USD 7.8 B and with a spectacular USD 9.2 B $GS - http://t.co/UqsqhjWs,"Fri, 01 Feb 2013 04:30:48 +0000",tradingfloorcom,20274912,0,297200302090768384,
healthcare::jobs::Calgary,#healthcare #jobs Nursing - REGISTERED NURSE/CRISIS WORKER - Crisis Intervention S: Mackenzie Health... http://t.co/Qx5fy7n5 in #Calgary,"Fri, 01 Feb 2013 04:30:32 +0000",Careerjet_ca,202176605,0,297200236693159936,
healthcare::jobs::Calgary,#healthcare #jobs Medical Lab Technologist - Genetics: SickKids – The Hospital For Sick Children - T... http://t.co/j4x9tauH in #Calgary,"Fri, 01 Feb 2013 04:30:32 +0000",Careerjet_ca,202176605,0,297200235833348096,
healthcare::jobs::Toronto,#healthcare #jobs Nursing - REGISTERED NURSE/CRISIS WORKER - Crisis Intervention S: Mackenzie Health... http://t.co/NLbL9ejs in #Toronto,"Fri, 01 Feb 2013 04:30:31 +0000",Careerjet_ca,202176605,0,297200230770806785,
healthcare::jobs::Toronto,#healthcare #jobs Medical Lab Technologist - Genetics: SickKids – The Hospital For Sick Children - T... http://t.co/P13Yvl3R in #Toronto,"Fri, 01 Feb 2013 04:30:31 +0000",Careerjet_ca,202176605,0,297200229982281728,
Healthcare::Miami,"RT @jp_sawyer: @CareCloud proud to join @UMiamiBusiness for dinner to kick off ""Business of #Healthcare Post-Election"" event in #Miami http://t.co/junTPLPR","Fri, 01 Feb 2013 04:30:30 +0000",theDCFoodChain,133769674,0,297200225309847552,
,"What if America was a dictatorship?If we bailed out our rich friends when they cheat and lose, did not give healthcare and education to poor","Fri, 01 Feb 2013 04:30:26 +0000",DaVinciDreo,907120980,0,297200211112128512,
Jobs,"Manassas Job: Intensive Care Nurse - ICU Nurse - (ICU RN): American Mobile Healthcare - Manassas, VA - Job... http://t.co/JKwmdiLL #Jobs","Fri, 01 Feb 2013 04:30:21 +0000",Manassas_Jobs,226893979,0,297200188907483136,
,"To motivate many Americans re: healthcare, think 'me' before 'we,' say Stanford psychologists http://t.co/uRcQpw1X via @sharethis","Fri, 01 Feb 2013 04:30:06 +0000",BarbaraKornblau,161729123,0,297200127351853057,
healthcare::podcast::HealthValue,RT @DeloitteHealth: The #healthcare business model is changing from volume to value. Explore innovations in delivery http://t.co/3x17LtPm #podcast #HealthValue,"Fri, 01 Feb 2013 04:29:52 +0000",turnroach,615387135,0,297200068753252352,
